,,,Ksenia's TRUE count,Roy's True count,Ksenia's != Roy's
label,final_output_Ksenia,final_output_Roy,2519,2492,27
Rg5#,Rf3#,Rf3#,FALSE,FALSE,TRUE
Qxe7#,Qxe7#,Qxe7#,TRUE,TRUE,TRUE
Bf6#,Bf6#,Bf6#,TRUE,TRUE,TRUE
Qxf1#,Qxf1#,Qxf1#,TRUE,TRUE,TRUE
Rh5#,Rh5#,Rh5#,TRUE,TRUE,TRUE
Rf8#,Rf8#,Rf8#,TRUE,TRUE,TRUE
Qg2#,Qh1#,Qh1#,FALSE,FALSE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Re8#,Re8#,Re8#,TRUE,TRUE,TRUE
Rxg2#,Rxg2#,Rxg2#,TRUE,TRUE,TRUE
Rd8#,Rd8#,Rd8#,TRUE,TRUE,TRUE
Qd8#,Rc7#,Rc7#,FALSE,FALSE,TRUE
Re4#,Re4#,Re4#,TRUE,TRUE,TRUE
Be4#,Be4#,Be4#,TRUE,TRUE,TRUE
Ra5#,Ra5#,Ra5#,TRUE,TRUE,TRUE
Qh1#,Qh1#,Qh1#,TRUE,TRUE,TRUE
Qh8#,Qh8#,Qh8#,TRUE,TRUE,TRUE
Qxh7#,Qxh7#,Qxh7#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Rh6#,Rh6#,Rh6#,TRUE,TRUE,TRUE
Rh8#,Rh8#,Rh8#,TRUE,TRUE,TRUE
Bxg2#,,garbage,FALSE,FALSE,TRUE
Ra5#,Ra5#,Ra5#,TRUE,TRUE,TRUE
Qg7#,Qg7#,Qg7#,TRUE,TRUE,TRUE
Qg5#,Qg5#,Qg5#,TRUE,TRUE,TRUE
Rd8#,Nd6#,Nd6#,FALSE,FALSE,TRUE
Rxh3#,Rxh3#,Rxh3#,TRUE,TRUE,TRUE
Qf7#,Qf7#,Qf7#,TRUE,TRUE,TRUE
Rh7#,Rh7#,Rh7#,TRUE,TRUE,TRUE
Qxb7#,Qxb7#,Qxb7#,TRUE,TRUE,TRUE
Rd1#,,garbage,FALSE,FALSE,TRUE
Qxe7#,Qxe7#,Qxe7#,TRUE,TRUE,TRUE
Re8#,Re8#,Re8#,TRUE,TRUE,TRUE
Rd8#,Rd8#,Rd8#,TRUE,TRUE,TRUE
Rc8#,Rd7#,Rd7#,FALSE,FALSE,TRUE
Rb1#,Rb1#,Rb1#,TRUE,TRUE,TRUE
Qh8#,Qh8#,Qh8#,TRUE,TRUE,TRUE
Qxf2#,Qxf2#,Qxf2#,TRUE,TRUE,TRUE
Ra3#,Ra3#,Ra3#,TRUE,TRUE,TRUE
Rxd1#,Rxd1#,Rxd1#,TRUE,TRUE,TRUE
Qxd8#,Qxd8#,Qxd8#,TRUE,TRUE,TRUE
Qd1#,Qd1#,Qd1#,TRUE,TRUE,TRUE
R1d7#,R1d7#,d7#,TRUE,FALSE,FALSE
Rh1#,Rh1#,Rh1#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Bxg5#,Qxh5#,Qxh5#,FALSE,FALSE,TRUE
Qxg3#,,garbage,FALSE,FALSE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Rb1#,Rb1#,Rb1#,TRUE,TRUE,TRUE
Qg4#,h6#,h6#,FALSE,FALSE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qxh2#,,garbage,FALSE,FALSE,TRUE
Qd8#,,garbage,FALSE,FALSE,TRUE
Qg2#,Qg2#,Qg2#,TRUE,TRUE,TRUE
Bxf4#,Bxf4#,Bxf4#,TRUE,TRUE,TRUE
Bxf2#,Bxf2#,Bxf2#,TRUE,TRUE,TRUE
Rd7#,Rd7#,Rd7#,TRUE,TRUE,TRUE
Qxe2#,Qxe2#,Qxe2#,TRUE,TRUE,TRUE
Rd7#,Rd7#,Rd7#,TRUE,TRUE,TRUE
Rxe7#,Qh8#,Qh8#,FALSE,FALSE,TRUE
Bxe3#,Qf2#,Qf2#,FALSE,FALSE,TRUE
Qh4#,Qh4#,Qh4#,TRUE,TRUE,TRUE
Rb1#,Rg2#,Rg2#,FALSE,FALSE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Rd1#,Rd1#,Rd1#,TRUE,TRUE,TRUE
Be5#,Be5#,Be5#,TRUE,TRUE,TRUE
Qc4#,Ra3#,Ra3#,FALSE,FALSE,TRUE
Qxg6#,Qxg6#,Qxg6#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qh5#,,garbage,FALSE,FALSE,TRUE
Nf3#,Nf3#,Nf3#,TRUE,TRUE,TRUE
Qfc1#,Qc1#,Qc1#,FALSE,FALSE,TRUE
Qf8#,Qf8#,Qf8#,TRUE,TRUE,TRUE
Rg1#,Rh3#,Rh3#,FALSE,FALSE,TRUE
Qxh1#,,garbage,FALSE,FALSE,TRUE
Bd3#,,garbage,FALSE,FALSE,TRUE
Qxf2#,Qxf2#,Qxf2#,TRUE,TRUE,TRUE
Qc3#,Qc3#,Qc3#,TRUE,TRUE,TRUE
Qg7#,Qg7#,Qg7#,TRUE,TRUE,TRUE
Qd7#,Qd7#,Qd7#,TRUE,TRUE,TRUE
Qxc8#,Qxc8#,Qxc8#,TRUE,TRUE,TRUE
Qg4#,Qh7#,Qh7#,FALSE,FALSE,TRUE
Qg1#,Qg1#,Qg1#,TRUE,TRUE,TRUE
Ra1#,Ra1#,Ra1#,TRUE,TRUE,TRUE
Qxc7#,Qxc7#,Qxc7#,TRUE,TRUE,TRUE
Qxf3#,Qxf3#,Qxf3#,TRUE,TRUE,TRUE
Nxb6#,Qb8#,Qb8#,FALSE,FALSE,TRUE
Qg7#,Qg7#,Qg7#,TRUE,TRUE,TRUE
Qc2#,Qb3#,Qb3#,FALSE,FALSE,TRUE
Qe4#,,garbage,FALSE,FALSE,TRUE
Qg2#,Qg2#,Qg2#,TRUE,TRUE,TRUE
Bh3#,Rf3#,Rf3#,FALSE,FALSE,TRUE
Ba3#,Rb1#,Rb1#,FALSE,FALSE,TRUE
Qxh2#,,garbage,FALSE,FALSE,TRUE
Rh1#,Rh1#,Rh1#,TRUE,TRUE,TRUE
