,outputs_0,outputs_1,outputs_2,outputs_3,outputs_4,outputs_5,final_output
0,garbage,Rf3#,g6#,garbage,garbage,g6#,Rf3#
1,garbage,garbage,garbage,Qxe7#,garbage,Qxe7#,Qxe7#
2,Bf6#,garbage,Bf6#,Bf6#,garbage,garbage,Bf6#
3,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#
4,Rh5#,Rh5#,Rh5#,Rh5#,Rh5#,Rh5#,Rh5#
5,garbage,Rf8#,Rf8#,garbage,Nf7#,Rf8#,Rf8#
6,Qh1#,Qh1#,Qh1#,Qh1#,garbage,Qh1#,Qh1#
7,garbage,garbage,garbage,garbage,garbage,garbage,garbage
8,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#
9,Rxg2#,Rxg2#,Rxg2#,Rxg2#,Rxg2#,Rxg2#,Rxg2#
10,Rd8#,Rb8#,garbage,Rd8#,Rd8#,garbage,Rd8#
11,Rc7#,Qe5#,garbage,Qe5#,Qe5#,Qd8#,Rc7#
12,garbage,Re4#,garbage,Re4#,Re4#,garbage,Re4#
13,garbage,Be4#,garbage,garbage,garbage,garbage,Be4#
14,Ra5#,garbage,Ra5#,Ra5#,Ra5#,Ra5#,Ra5#
15,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#
16,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
17,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
18,garbage,garbage,garbage,garbage,garbage,garbage,garbage
19,Rh6#,Rh6#,garbage,garbage,Rh6#,Rh6#,Rh6#
20,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
21,garbage,garbage,garbage,garbage,garbage,garbage,garbage
22,Ra5#,Ra5#,Ra5#,Ra5#,Ra5#,Ra5#,Ra5#
23,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
24,garbage,Qg5#,Qg5#,garbage,Qg5#,garbage,Qg5#
25,Nd6#,Rd8#,Nd6#,Nd6#,Rd8#,Nd6#,Nd6#
26,Rxh3#,Rxh3#,Rxh3#,garbage,garbage,garbage,Rxh3#
27,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
28,Rh7#,garbage,Rh7#,Rh7#,Rh7#,Rh7#,Rh7#
29,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#
30,garbage,garbage,garbage,garbage,garbage,garbage,garbage
31,Qxe7#,Qxe7#,Qxe7#,Qxe7#,Qxe7#,Qxe7#,Qxe7#
32,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#
33,Rd8#,garbage,Rd8#,garbage,Rd8#,garbage,Rd8#
34,Rd7#,Rd7#,Nf7#,garbage,Nc6#,Rc8#,Rd7#
35,Rb1#,Rb1#,Rb1#,Rb1#,Rb1#,Rb1#,Rb1#
36,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
37,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
38,Ra3#,Ra3#,Ra3#,Ra3#,Ra3#,Ra3#,Ra3#
